title,description,link,img_src
GenAI Applied to Quantitative Finance: For Control Implementation,All Courses,/courses/genai-applied-to-quantitative-finance-for-control-implementation,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",All Courses,/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy,https://import.cdn.thinkific.com/118220/SV5jeKd1Q4iFyzMlUSdw_Thumbnail.png
Creating Problem-Solving Agents using GenAI for Action Composition,"All Courses, 
        
      
        
          Generative AI",/courses/creating-problem-solving-agents-using-genai-for-action-composition,https://import.cdn.thinkific.com/118220/ih6JsBMgSCWbl9ofgpYg_Thumbnail%20.png
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"All Courses, 
        
      
        
          Generative AI",/courses/improving-real-world-rag-systems-key-challenges,https://import.cdn.thinkific.com/118220/70WfAJhFRsyXXdLQcWIl_281762.jpg
Framework to Choose the Right LLM for your Business,"All Courses, 
        
      
        
          Generative AI",/courses/choosing-the-right-LLM-for-your-business,https://import.cdn.thinkific.com/118220/A3lVcQcRRbKN9IBZANvV_cinematic-person-is-looking-customer-journey-map%201.jpg
Building Smarter LLMs with Mamba and State Space Model,All Courses,/courses/building-smarter-llms-with-mamba-and-state-space-model,https://import.cdn.thinkific.com/118220/FbdKUqgKSj2K80QgVl1z_THUMBNAIL%20(1).png
Generative AI - A Way of Life - Free Course,"All Courses, 
        
      
        
          Generative AI",/courses/genai-a-way-of-life,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png
Building LLM Applications using Prompt Engineering - Free Course,"All Courses, 
        
      
        
          Generative AI",/courses/building-llm-applications-using-prompt-engineering-free,https://import.cdn.thinkific.com/118220/GnpgN0uiTA1VO2MpQvTA_3.png
Building Your First Computer Vision Model - Free Course,All Courses,/courses/building-your-first-computer-vision-model,https://import.cdn.thinkific.com/118220/cv8WEAZPRtGcSR8A2kBY_cv%20thumbnail.png
Bagging and Boosting ML Algorithms - Free Course,All Courses,/courses/bagging-boosting-ML-Algorithms,https://import.cdn.thinkific.com/118220/ZPH29GMrTey5gAaobwAH_Getting%20started%20with%20Decision%20Trees.jpg
MidJourney: From Inspiration to Implementation - Free Course,"All Courses, 
        
      
        
          Generative AI",/courses/midjourney_from_inspiration_to_implementation,https://import.cdn.thinkific.com/118220/NclAzDSwRwedON784y83_QZQvFaQFTFu4cFHZ0O5A_Midjourney%20(1).png
Understanding Linear Regression - Free Course,All Courses,/courses/free-understanding-linear-regression,https://import.cdn.thinkific.com/118220/vK6lGCCqSsWtESgG69K1_Foundational%20ML%20Algorithms.png
The Working of Neural Networks - Free Course,All Courses,/courses/The%20Working%20of%20Neural%20Networks,https://import.cdn.thinkific.com/118220/cu3qVXYTR7WEDj7eYQXS_unnamed.jpg
The A to Z of Unsupervised ML - Free Course,All Courses,/courses/free-unsupervised-ml-guide,https://import.cdn.thinkific.com/118220/a8FaIfN8SyfgOEhgzcHx_Getting_Started_with_Neural_Networks_307d8d11-d90e-45eb-8885-7d8f59fadc48.png
Building Your first RAG System using LlamaIndex - Free Course,"All Courses, 
        
      
        
          Generative AI",/courses/building-first-rag-systems-using-llamaindex,https://import.cdn.thinkific.com/118220/HSr06pXxRTeF2Lpp6VQl_DALL%C2%B7E%202024-07-03%2011.42.42%20-%20A%20visually%20striking%20representation%20of%20a%20Retrieval-Augmented%20Generation%20(RAG)%20system%20using%20LlamaIndex.%20The%20image%20should%20have%20a%20dark%20background%20with%20int.png
